time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-29T16:12:40.320Z,48.7903333,-125.4988333,32.366,1.62,ml,6,270,0.1374,0.15,uw,uw61071687,2015-09-29T22:52:39.750Z,"16km SSE of Ucluelet, Canada",earthquake
2015-09-29T16:04:55.460Z,33.2676667,-116.77,10.47,0.65,ml,25,55,0.03298,0.23,ci,ci37251063,2015-09-29T16:08:59.529Z,"3km NNW of Lake Henshaw, California",earthquake
2015-09-29T15:53:49.030Z,45.7228,26.7268,121,4.1,ml,,39,0.14,0.57,us,us10003iw9,2015-09-29T23:56:22.171Z,"1km NE of Nereju, Romania",earthquake
2015-09-29T15:45:02.330Z,37.6905,-119.43,6.47,1.12,md,5,339,0.2843,0.07,nc,nc72532631,2015-09-29T20:53:12.580Z,"14km ESE of Yosemite Valley, California",earthquake
2015-09-29T15:35:20.760Z,-5.4144,151.9997,52.18,5.4,mb,,37,6.224,0.57,us,us10003ivk,2015-09-29T23:37:56.483Z,"121km SSW of Kokopo, Papua New Guinea",earthquake
2015-09-29T15:26:48.770Z,-26.8963,-63.3891,559.03,4.2,mb,,39,5.128,0.73,us,us10003ivd,2015-09-29T23:29:33.428Z,"21km NW of El Hoyo, Argentina",earthquake
2015-09-29T15:15:26.700Z,34.1818333,-117.4196667,4.08,1.18,ml,37,68,0.0892,0.21,ci,ci37251047,2015-09-29T17:03:49.539Z,"5km SSW of Devore, California",earthquake
2015-09-29T15:12:03.120Z,36.6061668,-121.1943359,6.79,1.21,md,9,101,0.0314,0.07,nc,nc72532626,2015-09-29T15:13:40.400Z,"23km NNE of Soledad, California",earthquake
2015-09-29T15:11:18.700Z,18.0233,-65.3951,18,2.7,Md,4,262.8,0.16618833,0.1,pr,pr15272005,2015-09-29T23:14:01.423Z,"11km SE of Esperanza, Puerto Rico",earthquake
2015-09-29T15:02:17.920Z,17.8261,-102.2754,49.35,4.9,mb,,96,2.065,1.33,us,us10003iv8,2015-09-29T16:37:31.285Z,"16km SSW of Lazaro Cardenas, Mexico",earthquake
2015-09-29T14:59:58.270Z,37.6675,-118.8691667,2.68,0.15,md,7,170,0.03166,0.05,nc,nc72532616,2015-09-29T20:17:04.020Z,"9km ENE of Mammoth Lakes, California",earthquake
2015-09-29T14:53:26.810Z,36.5688333,-121.1351667,10.06,2.67,md,65,55,0.04462,0.08,nc,nc72532611,2015-09-29T22:36:05.147Z,"23km NE of Soledad, California",earthquake
2015-09-29T14:49:16.000Z,51.4256,-176.1826,18.7,2.2,ml,,,,0.32,ak,ak11726343,2015-09-29T17:21:59.156Z,"60km SSE of Adak, Alaska",earthquake
2015-09-29T14:48:23.000Z,61.5944,-150.1937,39.8,2.1,ml,,,,0.47,ak,ak11726340,2015-09-29T15:08:18.665Z,"15km WNW of Big Lake, Alaska",earthquake
2015-09-29T14:45:16.690Z,-13.7253,167.2383,136.02,4.8,mb,,85,1.712,0.8,us,us10003iv6,2015-09-29T22:47:51.486Z,"37km WNW of Sola, Vanuatu",earthquake
2015-09-29T14:39:13.970Z,2.0094,127.3306,100.79,4.9,mb,,41,1.229,0.88,us,us10003iv4,2015-09-29T22:41:55.974Z,"81km WNW of Tobelo, Indonesia",earthquake
2015-09-29T14:35:40.531Z,38.029,-118.9844,8,0.5,ml,7,135.6,0.157,0.1052,nn,nn00512792,2015-09-29T16:30:25.380Z,"33km SE of Bridgeport, California",earthquake
2015-09-29T14:30:34.000Z,61.7798,-147.3133,48.3,1.7,ml,,,,0.43,ak,ak11726338,2015-09-29T14:46:47.578Z,"81km E of Sutton-Alpine, Alaska",earthquake
2015-09-29T14:27:31.490Z,32.9668333,-115.5658333,8.78,1.85,ml,22,70,0.06533,0.12,ci,ci37250999,2015-09-30T00:05:21.870Z,"4km WSW of Brawley, California",earthquake
2015-09-29T14:04:47.920Z,34.182,-117.4171667,10.17,0.98,ml,24,61,0.07347,0.26,ci,ci37250975,2015-09-29T17:04:23.708Z,"5km SSW of Devore, California",earthquake
